Year,Month,Department,Division,Merchant,TranxDescription,TranxDate,TrnxAmount,Difference
2019,1,DEPT OF CORRECTIONS,Howard R Young Correct Institu,HILYARDS INC,Construction Materials Not Elsewhere Classified,07/16/2018,63.35,36.65
2022,2,LEGAL,Department of Justice,AMERICAN AIR0012193007589,Airline,08-04-2021,621.2,-521.2
2020,3,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,EASTERN SHORE COFFEE And WA,Business Services-Not Elsewhere Classified,09-10-2019,592.03,-492.03
2020,7,DEPT OF HEALTH AND SOCIAL SV,Hospital ft Chronically Ill,FRAME USA,Miscellaneous And Specialty Retail Stores,01/15/2020,233.8,-133.8
2021,2,EXECUTIVE,Budget Development And Plann,VERIZONWRLSS*RTCCR VB,Telecom Incl Prepaid-Recurring Phone Svcs,08/19/2020,20.14,79.86
2023,4,SVS FR CHILDREN YOUTH FAMILIES,Managed Care Organization,YMCA OF DELAWARE - WESTER,Clubs-Cntry MbrshipAthlet Rec Sprts Private Golf,10-12-2022,5.52,94.48
2019,3,DEPT OF HEALTH AND SOCIAL SV,Medicaid And Medical Assista,VWR INTERNATIONAL INC,Dental-Lab-Med-Ophthalmic Hosp Equip Supplies,09-01-2018,26.98,73.02
2020,7,DEPT OF SAFETY AND HOMELAND,Capitol Police,FREDPRYOR CAREERTRACK,Schools Educational Svc-Not Elsewhere Classified,01-02-2020,249.0,-149.0
2019,2,DEPT OF TECHNOLOGY AND INFOR,Data Center And Operations,INTERNATIONAL TRANSACTION,Internal Transaction,08-09-2018,1.65,98.35
2023,3,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,AMZN MKTP US*1F57O7T11,Book Stores,09-06-2022,68.35,31.650000000000006
2022,2,DEL TECH AND COMM COLLEGE,Owens Campus,CANVA* I03151-0970458,Photographic Studios,08/18/2021,119.4,-19.400000000000006
2021,4,DEPT OF ELECTIONS,State Election Commissioner,AMZN MKTP US*MK1AH2FA1,Book Stores,09/29/2020,674.58,-574.58
2019,5,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,TARGET 00013128,Discount Stores,10/30/2018,279.98,-179.98000000000002
2021,11,POLYTECH SCHOOL DISTRICT,Polytech School District,VWR INTERNATIONAL INC,Dental-Lab-Med-Ophthalmic Hosp Equip Supplies,05/22/2021,105.59,-5.590000000000003
2019,5,DEPT OF HEALTH AND SOCIAL SV,Community Services,SHOPRITE NEWARK S1,Grocery Stores Supermarkets,10/31/2018,44.49,55.51
2020,2,DEPT OF STATE,Public Advocate,AMTRAK 2209341556079,Travel,08-08-2019,38.0,62.0
2022,9,DEPT OF TRANSPORTATION,Capital Project Cost Center,HYATT REGENCY ORLAND INT,Lodging,03/23/2022,33.02,66.97999999999999
2023,2,LEGAL,Department of Justice,STAPLS0202064590000002,Stationery-Office Supplies-Printing Writing Pap,08-06-2022,80.39,19.61
2020,8,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,SYNERGY PHARMACY SERVICES,Drug Stores Pharmacies,02-12-2020,16.0,84.0
2023,5,SVS FR CHILDREN YOUTH FAMILIES,Secure Care,BEST BUY MHT 00014803,Electronic Sales,11/14/2022,127.48,-27.480000000000004
2019,12,DEPT OF HEALTH AND SOCIAL SV,Stockley Center,WALMART.COM 8009666546,Discount Stores,06/13/2019,133.58,-33.58000000000001
2022,9,DEL TECH AND COMM COLLEGE,WILMINGTON CAMPUS,USPS PO 0968200550,Postal Services-Government Only,03/21/2022,2.43,97.57
2022,5,MOT CHARTER SCHOOL,MOT Charter School,WAWA 843 00008433,Fuel Dispenser Automated,11/17/2021,73.08,26.92
2023,7,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,EASTERN SHORE COFFEE And WA,Miscellaneous And Specialty Retail Stores,01/13/2023,8.0,92.0
2020,8,DEPT OF TRANSPORTATION,Maintenance Districts,APPLE.COM/BILL,Record Shops,02-11-2020,0.99,99.01
2020,5,RED CLAY CONSOLIDATED SCH DIST,Red Clay Consolidated Sch Dist,AMERICAN EDUCATIONAL RESE,Schools Educational Svc-Not Elsewhere Classified,10/31/2019,86.95,13.049999999999997
2019,8,DEPT OF TRANSPORTATION,Maintenance Districts,BMC # 4059,Building Materials Lumber Stores,02/14/2019,28.99,71.01
2020,4,LEGISLATIVE BRANCH,General Assembly House,AMZN MKTP US*9540Z0BH3,Book Stores,09/30/2019,1529.41,-1429.41
2023,4,DEPT OF NATRL RES AND ENV CONT,Air Quality,GRAINGER,Industrial Supplies Not Elsewhere Classified,10/25/2022,867.1,-767.1
2019,1,DEPT OF SAFETY AND HOMELAND,Communication,TEMPEST TELECOM SOLUTI,Telecommunication Equipment Incl Telephone Sales,06/29/2018,125.0,-25.0
2020,1,JUDICIAL,Ofc Of St Court Administrator,GAYLORD NATIONAL F/D,Lodging,07/14/2019,844.88,-744.88
2020,1,DEPT OF STATE,Employment Relations Boards,PROGRESSIVE BUSINESS PUB,Books Periodicals And Newspapers,07/18/2019,159.0,-59.0
2021,7,DEPT OF NATRL RES AND ENV CONT,Waste and Hazardous Substances,US COMPOSTING COUNCIL,Organizations Charitable And Social Services,12/30/2020,25.0,75.0
2020,8,DELAWARE NATIONAL GUARD,Delaware National Guard,CONCORD CAFE,Eating Places Restaurants,02/13/2020,6.65,93.35
2020,2,EAST SIDE CHARTER SCHOOL,East Side Charter School,TCI,Schools Educational Svc-Not Elsewhere Classified,08/13/2019,814.0,-714.0
2019,12,LEGISLATIVE BRANCH,General Assembly House,QUILL CORPORATION,Stationery-Office Supplies-Printing Writing Pap,05/30/2019,116.8,-16.799999999999997
2022,5,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,AMZN MKTP US*ZN1216Z53,Book Stores,11/18/2021,9.95,90.05
2020,1,DEPT OF SAFETY AND HOMELAND,State Police-Executive,MID-ATLANTIC BEHAVIORAL,Doctors Not Elsewhere Classified,07-03-2019,120.0,-20.0
2019,2,DEPT OF CORRECTIONS,Facilities Maintenance,STAPLES INC - VT,Stationery-Office Supplies-Printing Writing Pap,08-09-2018,123.58,-23.58
2021,7,LEGAL,Department of Justice,AMAZON.COM*KA0Y81HW3,Book Stores,01-04-2021,112.48,-12.480000000000004
2019,3,DEPT OF TRANSPORTATION,Toll Administration,STATE JANITORAL SUPPLY,Cleaning And Maintenance Janitorial Services,09-12-2018,56.0,44.0
2019,5,DEPT OF HEALTH AND SOCIAL SV,Social Services,DISPUTE CREDIT,Discount Stores,10/31/2018,-72.31,27.689999999999998
2019,9,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,SCHOOL HEALTH CORP,Dental-Lab-Med-Ophthalmic Hosp Equip Supplies,02/28/2019,328.5,-228.5
2022,7,LEGAL,PUBLIC DEFENDER,STAPLS0197058359000001,Stationery-Office Supplies-Printing Writing Pap,01-08-2022,146.75,-46.75
2021,2,LEGAL,Department of Justice,STAPLES DIRECT,Stationery-Office Supplies-Printing Writing Pap,08/14/2020,5.99,94.01
2020,8,SUSSEX TECHNICAL SCHL DISTRICT,Sussex Technical Schl District,LOWES #02795*,Home Supply Warehouse Stores,02/20/2020,37.98,62.02
2022,3,DEPT OF SAFETY AND HOMELAND,State Police-Executive,THE BONNIE CASTLE,Eating Places Restaurants,09/16/2021,36.13,63.87
2020,5,DEPT OF TRANSPORTATION,Maintenance Districts,BENZ HYDRAULICS INC,Industrial Supplies Not Elsewhere Classified,11/20/2019,533.74,-433.74
2021,1,DEPT OF TRANSPORTATION,Maintenance Districts,FASTENAL COMPANY 01DEMIF,Industrial Supplies Not Elsewhere Classified,07/24/2020,91.02,8.980000000000004
2019,11,DEPT OF NATRL RES AND ENV CONT,Fish and Wildlife,AMZN MKTP US*MZ7VS56H2,Book Stores,04/30/2019,181.57,-81.57
2019,8,DEPT OF TRANSPORTATION,Office Of The Secretary,NAMEBADGE.COM,Miscellaneous Publishing And Printing,02/21/2019,96.29,3.7099999999999937
2021,1,DEPT OF SAFETY AND HOMELAND,Office Of Abc Commissioner,PRAXAIR DIST INC OAM,Industrial Supplies Not Elsewhere Classified,06/30/2020,627.14,-527.14
2023,4,MOT CHARTER SCHOOL,MOT Charter School,PAYPAL *REPAIRDEPOT,Electronic Sales,10-06-2022,100.0,0.0
2022,7,ODYSSEY CHARTER,Odyssey Charter,WORDWALL.NET,Computer Software Stores,01/19/2022,388.0,-288.0
2022,3,DEPT OF HEALTH AND SOCIAL SV,Substance Abuse,AMZN MKTP US*2D64L89Y2,Book Stores,08/27/2021,27.19,72.81
2021,9,DEPT OF TRANSPORTATION,Administration,INTERNATIONAL TRANSACTION,Internal Transaction,02/17/2021,1.8,98.2
2019,1,DEPT OF TRANSPORTATION,Maintenance Districts,ATLANTIC MACHINERY,Commercial Equipment Not Elsewhere Classified,07/25/2018,903.89,-803.89
2021,12,POLYTECH SCHOOL DISTRICT,Polytech School District,SPARK FUN ELECTRONICS INC,Electronic Sales,06/14/2021,359.9,-259.9
2023,3,WOODBRIDGE SCHOOL DISTRICT,Woodbridge School District,LA QUINTA INN And SUITES,Lodging,09/18/2022,561.6,-461.6
2021,4,DEPT OF TECHNOLOGY AND INFOR,Data Center And Operations,DMI* DELL HLTHCR/REL,Computers Computer Peripheral Equipment Software,10/18/2020,40.0,60.0
2020,4,DEPT OF NATRL RES AND ENV CONT,Fish and Wildlife,AMZN MKTP US*OB7673TU3,Book Stores,10-12-2019,6.4,93.6
2019,3,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,INKHEAD,Commercial Art Graphics Photography,09/20/2018,275.14,-175.14
2022,5,SVS FR CHILDREN YOUTH FAMILIES,24 Hour Treatment,ACME 3816,Grocery Stores Supermarkets,10/26/2021,45.16,54.84
2019,7,DEPT OF CORRECTIONS,New Castle Cty Community Corre,BE EQUIPMENT INC,Industrial Supplies Not Elsewhere Classified,01/18/2019,144.0,-44.0
2022,7,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,PETCO COM 00069880,Pet Shops - Pet Foods And Supplies,01-08-2022,72.96,27.040000000000006
2020,4,DEPT OF AGRICULTURE,Nutrient Management,50393 - THE LIAISON HOTEL,Automobile Parking Lots And Garages,10/22/2019,100.0,0.0
2020,1,DEPT OF TRANSPORTATION,Maintenance Districts,ATLANTIC TRACTOR NEWARK 0,Misc-Auto-Aircraft-Farm Equip Not Elsewhere Class,06/27/2019,209.92,-109.91999999999999
2019,4,CAESAR RODNEY SCHOOL DISTRICT,CAESAR RODNEY SCHOOL DISTRICT,HCGI,Computers Computer Peripheral Equipment Software,10/22/2018,1321.0,-1221.0
2020,8,LEGAL,Department of Justice,RIVERFRONT PRKING DECK,Automobile Parking Lots And Garages,02-07-2020,22.0,78.0
2022,12,CHARTER SCHOOL OF NEW CASTLE,Charter School of New Castle,CARBONSQUARE,Comp Programing Data Prcsng Intgrtd Sys Dsgn Srvs,06-01-2022,600.0,-500.0
2020,6,DEPT OF TRANSPORTATION,Human Resources,STAPLS0179686659000001,Stationery-Office Supplies-Printing Writing Pap,12-03-2019,6.03,93.97
2021,5,DEPT OF HEALTH AND SOCIAL SV,Visually Impaired Services,PAYPAL *MIDAMERICAC,Associations-Civic Social And Fraternal,10/28/2020,40.0,60.0
2019,6,DEPT OF SAFETY AND HOMELAND,Communication,STAPLS0171230336000001,Stationery-Office Supplies-Printing Writing Pap,12/19/2018,66.16,33.84
2019,11,INDIAN RIVER SCHOOL DISTRICT,Indian River School District,AMERICAN AIR0010289167208,Airline,05-03-2019,30.0,70.0
2021,7,DEPT OF STATE,Public Service Commission,NATL ASSN REG UTIL COMM,Organizations Membership-Not Elsewhere Classified,01/20/2021,195.0,-95.0
2021,12,DEPT OF STATE,Del Comm of Veterans Affairs,FULTON PAPER And PARTY SUP,Stationery-Office Supplies-Printing Writing Pap,05/28/2021,13.96,86.03999999999999
2022,4,JUDICIAL,Court Of Chancery,IN *FOOD FOR THOUGHT CATE,Caterers,10-08-2021,30.0,70.0
2022,1,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,AMZN MKTP US*2E0UG18A1,Book Stores,07/18/2021,118.69,-18.689999999999998
2019,2,SVS FR CHILDREN YOUTH FAMILIES,Education Services,OTC BRANDS INC.,Direct Marketing-Catalog Merchants,08/14/2018,135.82,-35.81999999999999
2020,8,CAESAR RODNEY SCHOOL DISTRICT,CAESAR RODNEY SCHOOL DISTRICT,AMZN MKTP US*Q507G4ZI3,Book Stores,02-09-2020,7.48,92.52
2021,5,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,MCDONALD'S F4566,Fast Food Restaurants,11/20/2020,8.99,91.01
2020,4,LEGAL,PUBLIC DEFENDER,SPOTOS OYSTER BAR,Eating Places Restaurants,10/25/2019,47.0,53.0
2020,11,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,NTL CNTR FOR SAFETY,Sporting Goods Stores,05/21/2020,888.0,-788.0
2021,4,DEPT OF SAFETY AND HOMELAND,Criminal Investigation,SHEETZ 0514 00005140,Service Stations With Or Without Ancillary Service,10-10-2020,44.16,55.84
2021,7,DEPT OF HEALTH AND SOCIAL SV,Social Services,WB MASON,Stationery-Office Supplies-Printing Writing Pap,01/25/2021,121.6,-21.599999999999994
2020,5,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,GRAND HYATT WASHINGTON,Lodging,11/25/2019,-124.0,-24.0
2023,5,LEGAL,Department of Justice,AMERICAN AIR0017826467425,Airline,10/26/2022,558.21,-458.21000000000004
2021,11,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,EDUC175172 DASL / CEHD,Business Services-Not Elsewhere Classified,05/18/2021,60.0,40.0
2019,5,DEPT OF TRANSPORTATION,Capital Project Cost Center,MTM TECHNOLOGIES INC,Comp Programing Data Prcsng Intgrtd Sys Dsgn Srvs,11-01-2018,39614.29,-39514.29
2021,3,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,MCDONALD'S F4566,Fast Food Restaurants,09-08-2020,6.19,93.81
2022,8,MOT CHARTER SCHOOL,MOT Charter School,AMZN MKTP US*NQ6HV4LI3,Book Stores,02/16/2022,5.35,94.65
2022,12,RED CLAY CONSOLIDATED SCH DIST,Red Clay Consolidated Sch Dist,BARNES And NOBLE.COM,Book Stores,06-07-2022,-16.18,83.82
2020,6,DEPT OF STATE,Delaware Tourism Office,GOOGLE *CLOUD0197A1-3,Advertising Services,12/23/2019,232.67,-132.67
2020,8,JUDICIAL,Justice of the Peace Court,OFFICEMAX/OFFICEDEPT#6871,Direct Marketing-Combination Catalog-Retail Merch,02/19/2020,404.7,-304.7
2023,5,SUSSEX TECHNICAL SCHL DISTRICT,Sussex Technical Schl District,WET DOG CAR WASH SEA,Car Washes,11/21/2022,18.0,82.0
2022,11,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,FOOD LION #1385,Grocery Stores Supermarkets,05-04-2022,17.98,82.02
2019,4,DEPT OF LABOR,Office Of The Secretary,GA BLANCO And SONS INC,Office Photographic Photocopy Microfilm Equipmt,10-04-2018,368.0,-268.0
2023,2,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,FAIRFAX HARDWARE,Hardware Stores,08-04-2022,5.79,94.21
2020,8,INDIAN RIVER SCHOOL DISTRICT,Indian River School District,KITCHEN And CO #7,Crystal And Glassware Stores,02/25/2020,60.95,39.05
2023,5,LEGAL,Department of Justice,DOJ Internal Transaction,Lodging,11/25/2022,2144.12,-2044.12
2021,5,DEL TECH AND COMM COLLEGE,DTCC - Terry Campus,SHERWIN WILLIAMS ECOMMER,Glass Paint Wallpaper Stores,10/27/2020,31.98,68.02
2023,1,DEPT OF FINANCE,Office Of The Secretary,DELTA AIR 0067823173265,Airline,06/28/2022,99.6,0.4000000000000057
2023,3,THE CHARTER SCHOOL OF WILMNGTN,The Charter School Of Wilmngtn,AMZN MKTP US*I60RX71L3,Book Stores,09-04-2022,190.72,-90.72
2022,6,DEPT OF TRANSPORTATION,Maintenance Districts,SHERIDAN FORD SALES,Auto Truck Dlrs-Sales Svc Reprs Prts Leasing,11/29/2021,301.15,-201.14999999999998
2021,10,DEPT OF EDUCATION,Special Needs Programs,NTLREST SERVSAFE,Business Services-Not Elsewhere Classified,04/20/2021,25.78,74.22
2021,9,CAPE HENLOPEN SCHOOL DISTRICT,Cape Henlopen School District,DISCOUNTSCH 8006272829,Office School Supply And Stationery Stores,02-04-2021,209.54,-109.53999999999999
2019,6,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,NATIONAL COUNCIL OF SUPER,Organizations Membership-Not Elsewhere Classified,12/13/2018,355.0,-255.0
2023,3,DEPT OF NATRL RES AND ENV CONT,Fish and Wildlife,LOWES #02537*,Home Supply Warehouse Stores,09-06-2022,13.98,86.02
2020,1,DEPT OF STATE,Corporations,COWGIRL BBQ,Eating Places Restaurants,06/30/2019,16.63,83.37
2019,5,DEPT OF TRANSPORTATION,Maintenance Districts,PRAXAIR DIST INC OAM,Industrial Supplies Not Elsewhere Classified,10/30/2018,7.2,92.8
2019,4,EXECUTIVE,Budget Development And Plann,WB MASON,Stationery-Office Supplies-Printing Writing Pap,10-02-2018,13.33,86.67
2022,5,JUDICIAL,Office Of The Child Advocate,AMAZON.COM*GN1U59AV3,Book Stores,11/21/2021,60.0,40.0
2021,4,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,DMI* DELL CORP BUS,Computers Computer Peripheral Equipment Software,10/23/2020,3740.85,-3640.85
2022,9,DEPT OF CORRECTIONS,Facilities Maintenance,SHERWIN WILLIAMS 701414,Glass Paint Wallpaper Stores,03/22/2022,159.05,-59.05000000000001
2022,3,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,APPLIANCE FOR LESS LAURE,Household Appliance Stores,09/17/2021,13.77,86.23
2019,7,DEPT OF LABOR,OSHABLS,EXPRESSPARKNET SOUTH LOT,Automobile Parking Lots And Garages,01-08-2019,9.77,90.23
2019,9,DEL TECH AND COMM COLLEGE,DTCC - Stanton Campus,GUIDED HOUSE TOURS 20,Theatrical ProducersExcl Motion Pix Ticket Agncy,02/28/2019,54.0,46.0
2020,1,DEPT OF LABOR,Vocational Rehabilitation Svcs,SQ *MID-ATLANTIC SE,Sanitation Polishing Speciality Cleaning Prep,07-09-2019,468.56,-368.56
2019,11,DEPT OF CORRECTIONS,Facilities Maintenance,GRAINGER,Industrial Supplies Not Elsewhere Classified,05/16/2019,6.6,93.4
2019,2,DEPT OF NATRL RES AND ENV CONT,FINANCIAL SERVICES,STAPLS0168195193000001,Stationery-Office Supplies-Printing Writing Pap,08/22/2018,37.99,62.01
2021,9,DEPT OF HEALTH AND SOCIAL SV,Facility Operations,PHILADELPHIA BEARING DRI,Industrial Supplies Not Elsewhere Classified,03/19/2021,77.7,22.299999999999997
2019,5,DEPT OF CORRECTIONS,Central Offender Records,CAN*CANONFINANCIAL CFS,Electronic Sales,11-02-2018,457.49,-357.49
2021,5,DEPT OF CORRECTIONS,Facilities Maintenance,ANACONDA PROTECTIVE CONC,Detectve-Protectve Agncy Security Srvs Armor Cars,11-05-2020,385.5,-285.5
2020,4,DEPT OF TRANSPORTATION,Maintenance Districts,FASTENAL COMPANY 01DENEA,Industrial Supplies Not Elsewhere Classified,10-04-2019,145.25,-45.25
2020,9,DEPT OF SAFETY AND HOMELAND,Patrol,GO AIRPORT SHUTTLE EXEC,Travel,02/27/2020,0.85,99.15
2019,7,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,G And E HARDWARE,Hardware Stores,01/18/2019,7.99,92.01
2023,7,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,AMZN MKTP US*5K6G26OL3,Book Stores,01-11-2023,22.98,77.02
2022,2,ODYSSEY CHARTER,Odyssey Charter,AMAZON.COM*252U113N0,Book Stores,08/26/2021,209.96,-109.96000000000001
2019,9,DEPT OF AGRICULTURE,Food Products Inspection,AMERICAN AIR0010283369070,Airline,03-05-2019,30.0,70.0
2020,4,DEPT OF CORRECTIONS,DOC-Medical Treatment Srvs,AMERICAN CORRECTIONAL ASS,Organizations Membership-Not Elsewhere Classified,10/21/2019,310.0,-210.0
2023,3,CAESAR RODNEY SCHOOL DISTRICT,CAESAR RODNEY SCHOOL DISTRICT,AMZN MKTP US*1U7W08Z32,Book Stores,09/24/2022,66.44,33.56
2022,4,DEPT OF TRANSPORTATION,Maintenance Districts,STAPLES INC - VT,Stationery-Office Supplies-Printing Writing Pap,10-12-2021,36.01,63.99
2021,4,DEPT OF SAFETY AND HOMELAND,Communication,HERTRICH OF DOVER,Auto Truck Dlrs-Sales Svc Reprs Prts Leasing,10/22/2020,128.25,-28.25
2022,5,JUDICIAL,Justice of the Peace Court,ATT*BILL PAYMENT,Cable Satellite Other Pay Television Radio Svcs,11/14/2021,127.42,-27.42
2022,4,DEL TECH AND COMM COLLEGE,DTCC - Terry Campus,JOHNSON PLASTICS PLUS,Commercial Equipment Not Elsewhere Classified,09/29/2021,172.17,-72.16999999999999
2022,12,DEPT OF SAFETY AND HOMELAND,State Police-Executive,VZWRLSS*APOCC VISB,Telecom Incl Prepaid-Recurring Phone Svcs,05/30/2022,23402.69,-23302.69
2020,6,JUDICIAL,Superior Court,AMZN MKTP US*H967Y1GP3,Book Stores,11/29/2019,23.98,76.02
2022,10,DEL TECH AND COMM COLLEGE,DTCC - Stanton Campus,DLTCRP BACKGROUND CHECK,Government Services-Not Elsewhere Classified,04/19/2022,25.0,75.0
2023,1,INSURANCE COMMISSIONER,Bur Of Exam Rehab And Guara,STAPLS0201698968000002,Stationery-Office Supplies-Printing Writing Pap,07/26/2022,22.96,77.03999999999999
2022,3,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,CAN*CANONFINANCIAL CFS,Electronic Sales,09-10-2021,573.46,-473.46000000000004
2021,9,DEL TECH AND COMM COLLEGE,WILMINGTON CAMPUS,AMZN MKTP US,Book Stores,03-10-2021,-8.17,91.83
2023,3,CAESAR RODNEY SCHOOL DISTRICT,CAESAR RODNEY SCHOOL DISTRICT,FEINER SUPPLY COMPANY,Piece Goods Notions And Other Dry Goods,09-06-2022,68.9,31.099999999999994
2023,7,THE CHARTER SCHOOL OF WILMNGTN,The Charter School Of Wilmngtn,AMERICAN AIR0017853625685,Airline,01-12-2023,178.9,-78.9
2020,1,SVS FR CHILDREN YOUTH FAMILIES,Human Resources,BALLYS HOTEL LAS VEGAS,Lodging,06/27/2019,206.3,-106.30000000000001
2022,8,DEPT OF CORRECTIONS,Human Resources,IN *FORENSIC LAW ENFORCEM,Health Practitioners Medical Srvcs-Not Elsewhere,02/23/2022,4990.0,-4890.0
2023,7,LEGAL,Department of Justice,SHERATON NEW ORLEANS,Lodging,01/15/2023,446.64,-346.64
2019,8,INDIAN RIVER SCHOOL DISTRICT,Indian River School District,USPS PO 0923100945,Postal Services-Government Only,02-12-2019,7.9,92.1
2019,12,DEPT OF SAFETY AND HOMELAND,State Police-Executive,MDM NATHANS,Fast Food Restaurants,06/21/2019,11.64,88.36
2019,2,LEGAL,Department of Justice,DOJ Internal Transaction,Car Rental,08-10-2018,315.88,-215.88
2022,1,DELMAR SCHOOL DISTRICT,Delmar School District,LEWESADVANC,Schools Elementary And Secondary,07-02-2021,1024.15,-924.1500000000001
2021,10,JUDICIAL,Office Of The Child Advocate,DSCYF CRIMINAL HIST,Colleges Univ Pro Schools Junior Colleges,04-12-2021,14.0,86.0
2020,9,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,NAT ASSN OF ELEM SC,Associations-Civic Social And Fraternal,03-02-2020,305.0,-205.0
2021,1,INSURANCE COMMISSIONER,Bur Of Exam Rehab And Guara,STAPLS0184625536000001,Stationery-Office Supplies-Printing Writing Pap,07-02-2020,151.68,-51.68000000000001
2023,1,DEPT OF STATE,State Banking Commission,HARBOR BAR,Eating Places Restaurants,07-10-2022,26.46,73.53999999999999
2019,8,DEPT OF TRANSPORTATION,Maintenance Districts,FLEETPRIDE INC.,Automotive Parts Accessories Stores,01/28/2019,24.76,75.24
2021,9,DEPT OF TRANSPORTATION,Maintenance Districts,SALISBURY AUTOMOTIVE,Automotive Parts Accessories Stores,01/27/2021,897.5,-797.5
2022,12,DEPT OF FINANCE,Accounting,EB AGA DOVER CAPITAL,Theatrical ProducersExcl Motion Pix Ticket Agncy,06-01-2022,125.0,-25.0
2020,3,DEPT OF FINANCE,Revenue,MDEFILE*004164228-0,Court Costs Including Alimony And Child Support,09/23/2019,2.14,97.86
2020,4,DEPT OF SAFETY AND HOMELAND,Dema,WYNDHAM PHILADELPHIA HIS,Lodging,10-03-2019,428.76,-328.76
2022,2,DEL TECH AND COMM COLLEGE,DTCC - Office of the President,USPS PO 0909900936,Postal Services-Government Only,08-02-2021,26.35,73.65
2019,4,INSURANCE COMMISSIONER,Bur Of Exam Rehab And Guara,STAPLS0169735882000001,Stationery-Office Supplies-Printing Writing Pap,10/19/2018,74.34,25.659999999999997
2019,3,DEPT OF TRANSPORTATION,Maintenance Districts,MANLOVE AUTO PTS 160,Automotive Parts Accessories Stores,09-11-2018,197.0,-97.0
2019,12,DEPT OF CORRECTIONS,Education,AMZN MKTP US*M611I6QM0,Book Stores,06/19/2019,11.0,89.0
2023,2,DEPT OF HEALTH AND SOCIAL SV,Community Health,STAPLS0202108117000001,Stationery-Office Supplies-Printing Writing Pap,08-09-2022,125.04,-25.040000000000006
2021,5,DEPT OF STATE,Professional Regulation,IDU*INSIGHT PUBLIC SEC,Computer Software Stores,11/24/2020,112.35,-12.349999999999994
2021,1,DEPT OF CORRECTIONS,Food Services,MOBILE MINI,Public Warehousing-Farm Refrig Goods Hhg Storage,07/15/2020,21.55,78.45
2019,4,DEPT OF HEALTH AND SOCIAL SV,Medicaid And Medical Assista,LYFT *RIDE WED 6AM,Travel,10/17/2018,5.43,94.57
2019,6,DEPT OF CORRECTIONS,Facilities Maintenance,MES/WARREN FIRE/LAWMEN,Durable Goods Not Elsewhere Classified,12-05-2018,4992.0,-4892.0
2021,2,FIRE PREVENTION COMMISSION,State Fire School,CHILD SAFETY SOLUTIONS,Miscellaneous Publishing And Printing,08-05-2020,128.59,-28.590000000000003
2021,5,DEPT OF TRANSPORTATION,Maintenance Districts,E ZPASS DE CSC00100701,Bridge And Road Fees Tolls,11/23/2020,135.0,-35.0
2020,7,DEPT OF LABOR,Employment And Training Serv,CAN*CANONFINANCIAL CFS,Electronic Sales,12/30/2019,27.43,72.57
2020,4,EAST SIDE CHARTER SCHOOL,East Side Charter School,AMAZON.COM*IU8FC2VV3,Book Stores,10/18/2019,151.58,-51.58000000000001
2022,8,DEPT OF NATRL RES AND ENV CONT,Fish and Wildlife,TAYLOR MARINE CENTER INC,Boat Dealers,02-03-2022,166.97,-66.97
2020,1,LAUREL SCHOOL DISTRICT,Laurel School District,SMARTSIGN,Miscellaneous General Merchandise,07/16/2019,338.3,-238.3
2020,5,DEPT OF CORRECTIONS,Facilities Maintenance,BRANDYWINE ELEVATOR CO,Miscellaneous Repair Shops And Related Services,10/29/2019,297.0,-197.0
2022,4,JUDICIAL,Family Court,21CM PA NEWSPAPERS ADV,Advertising Services,10/20/2021,177.12,-77.12
2022,6,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,COURTYARD BY MARRIOTT,Lodging,12-12-2021,295.82,-195.82
2019,11,LEGISLATIVE BRANCH,General Assembly House,QUILL CORPORATION,Stationery-Office Supplies-Printing Writing Pap,05-11-2019,168.26,-68.25999999999999
2020,1,DEPT OF HEALTH AND SOCIAL SV,Community Health,DAIRY QUEEN #40882,Fast Food Restaurants,07/26/2019,5.82,94.18
2021,4,DEPT OF TRANSPORTATION,Maintenance Districts,STATE JANITORAL SUPPLY,Cleaning And Maintenance Janitorial Services,10/16/2020,209.56,-109.56
